Company Name,Job Title,Job Description,Minimum Qualification,Location,Total Experience,Key Skills,Salary/Wage Type,Nature of Job,Salary,Number of Openings,Search Keyword
Apna (On behalf of PRR Homes and Property Developers)Click here for more details,Site Civil Engineer,Two wheeler with driving license must,Apna (On behalf of PRR Homes and Property Developers)Click here for more details,N/A,1 - 31,Construction Supervisor,Monthly,Full Time,15000 - 17000,1,driving
Apna (On behalf of perfect management services)Click here for more details,Food Delivery Biker,Candidate must have Android mobile and bike with driving licence,Apna (On behalf of perfect management services)Click here for more details,"NagpurDistrict: Nagpur, State: Maharashtra",0 - 1,delivery,Monthly,Full Time,Max. 35000,1,driving
Apna (On behalf of Nobroker Technologies Solutions Private Limited)Click here for more details,Field Sales Executive,"Hiring: Field Relationship Manager
 Location: On-field |  Full-Time
 Salary: 23,000 (In-Hand) + PF 3,600
 Petrol Allowance: 200/day
 Incentives: Up to 15,000/month
 Bike: Mandatory
 Travel: 5080 km/day



 What Youll Do:
 Visit customers & verify properties
 Close rental deals 
 Coordinate with tenants & owners
 Ensure photo & document authenticity
 Report daily visits & hit targets

 Requirements:
 6 months  2 years field/client-facing role
 Bike + Driving License 
 Comfortable with field travel
 Ready to join immediately 

 Why Join Us?
 Fixed Salary + PF
 Daily Petrol Allowance
 Up to 15,000/month in incentives
 Grow fast in a real estate-focused role

 Apply now & ride your way to success!

Phone number: 9500235519
HR Name: Siva",Apna (On behalf of Nobroker Technologies Solutions Private Limited)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",1 - 31,"B2C Sales, Distributor",Monthly,Full Time,N/A,1,driving
Apna (On behalf of Tata Aia Life)Click here for more details,Business Development Associate,"A Business Development Associate (BDA)focuses on driving revenue growth and expanding a company's market presence by identifying new business opportunities and building relationships with potential clients.They are key players in the sales process, working closely with other departments like sales and marketing to implement strategies for growth.

Key Responsibilities of a Business Development Associate:
Identifying and qualifying leads:
BDAs research and analyze market trends, identify potential customers, and assess their suitability based on the company's business model.
Building relationships:
They establish and nurture connections with potential clients, partners, and other stakeholders to foster long-term relationships.
Developing and executing sales strategies:
BDAs contribute to the creation of sales plans and strategies to drive revenue growth, often working with sales and marketing teams.
Conducting market research:
They analyze market trends, competitor activities, and customer needs to identify opportunities for growth and innovation.
Creating proposals and presentations:
BDAs prepare persuasive proposals and presentations to showcase the company's offerings and secure new business deals.
Coordinating with internal teams:
They collaborate with various departments to ensure seamless execution of sales strategies and efficient delivery of products or services.
Tracking and reporting:
BDAs monitor progress, analyze performance data, and generate reports to assess the effectiveness of their strategies.
Supporting sales efforts:
They assist with lead generation, qualification, and conversion processes, working closely with the sales team to achieve targets.

Skills and Qualifications:
Strong communication and interpersonal skills:BDAs need to effectively communicate with clients, partners, and internal teams.
Analytical and problem-solving skills:They need to analyze market data, identify opportunities, and develop effective solutions.
Sales and negotiation",Apna (On behalf of Tata Aia Life)Click here for more details,"South Twenty Four ParganasDistrict: South Twenty Four Parganas, State: West Bengal",0 - 31,Corporate Communication,Monthly,Full Time,15000 - 25000,1,driving
Apna (On behalf of Big Basket)Click here for more details,Delivery Boy,"Hi
 TATA BIG BASKET         .  Rs. 9000  Rs.15000   .

Hi, I'm Surriyaa CM from TATA BIG BASKET Call me or WhatsApp me: 6369614135

      : 6369614135

EV Bike also available.

Full Time
(06:00AM: 03.00PM) Full Time
(2.30PM:11.30PM) Full Time

Morning Part Time
(6AM: 10AM) Part Time
(7AM: 11PM) Part Time

Evening Part Time
(5PM: 10PM) Part Time
(6PM: 11PM) Part Time
(7PM: 12AM) Part Time

Now we have introduced Weekend Login.


Location
ADYAR
AMBATTUR
AYYAPPANTHANGAL
KEELKATTALAI
KELAMBAKKAM
KOTTIVAKKAM
MADURAVOYAL
MEDAVAKKAM
MOGAPPAIR
MUGALIVAKKAM
NANGANALLUR
NAVALUR
PALLAVARAMRAM
ROYAPETA
SELAIYUR
TAMBARAM
THORAIPAKKAM
VENGAIVASAL
VIJAYA NAGAR
VILLIVAKKAM
WEST MAMBALAM
MYLAPORE
MEDAVAKKAM
SHOLINGANALLUR
KATTUPAKKAM
NOLAMBUR
PERUMBAKKAM
ADYAR
MADIPAKKAM
KILPAUK
Jamalia
Aminjikarai
Navalur
Pudupakkam
Mugavilakkam
T Nagar",Apna (On behalf of Big Basket)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",0 - 31,"delivery, driving, Pickup and drop, Deliver packages, Google map operation",Monthly,Full Time,20000 - 40000,1,driving
Apna (On behalf of Best Infosystems Limited)Click here for more details,Business Development Manager (BDM),"Dynamic Business Development Manager  Staffing & Recruitment-Full time / Part-time / Freelance-remote

Job Title: Dynamic Business Development Manager  Staffing & Recruitment
Location: Remote
Territories: India, USA, Canada, and Beyond
Job Nature : Full time / Part-time / Freelance
________________________________________
About Us:
Are you ready to shape the future of global recruitment?
We are a trailblazer in the staffing and recruitment industry, with over 25+ years of experience delivering top-tier talent solutions to leading organizations across India, USA, Canada, and other international markets. Our commitment to excellence and innovation has made us a trusted partner for businesses seeking talent that drives success.
Join us, and become a key player in transforming the talent acquisition landscape while earning unparalleled growth and recognition.
________________________________________
Why Join Us?
	Global Impact: Partner with world-class organizations and make a mark in international markets.
	Rewards Beyond Limits: Competitive salary with uncapped incentivesyour growth is directly tied to your success.
	Supportive Ecosystem: Leverage our cutting-edge tools, extensive database, and dedicated team to close deals faster and smarter.
	Be a Game-Changer: Shape the future of staffing by driving strategic business decisions.
________________________________________
The Role:
We are seeking a highly motivated, strategic, and results-driven Business Development Manager to spearhead our India & global expansion. If you have the passion to win, the vision to excel, and the expertise to deliver, this is your moment.
________________________________________
Your Mission:
1. Client Acquisition:
	Identify and secure new clients in India, USA, Canada, and other regions, driving business growth and market presence.
	Build long-lasting relationships with HR leaders, decision-makers, and talent acquisition teams.
2. Revenue Leadership:
	Drive exponential revenue growth th",Apna (On behalf of Best Infosystems Limited)Click here for more details,N/A,5 - 31,BD / Pre Sales,Monthly,Full Time,100000 - 149000,1,driving
Apna (On behalf of Dishi Enterprise)Click here for more details,Receptionist / Front Office Executive,"Job Role will be Enrolling Customer for Driving training course n providing them the best services. Mostly System job, Maintaining Registers n records, Accounts etc...",Apna (On behalf of Dishi Enterprise)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",0 - 31,"Customer Service, Customer Satisfaction, Front office Operation, GOOD COMMUNICATION SKILLS, Call handling, Inbound Calling, Front Desk, Business communication, Email Management, scheduling appointment",Monthly,Full Time,15000 - 18000,1,driving
Apna (On behalf of Radha Rani Travels )Click here for more details,Ola / Uber Driver,"urgent hiring for uber ola indrive rapido
fifty fifty and lease or fix rent",Apna (On behalf of Radha Rani Travels )Click here for more details,"ThaneDistrict: Thane, State: Maharashtra",0 - 31,"driving, Four-wheeler driving",Monthly,Full Time,24000 - 38000,1,driving
Apna (On behalf of Galaxy Travels)Click here for more details,Travel Agent / Consultant,"Job Details

Job Title: Travel Sales Consultant


Industry of the Employer: Travel / Tourism


Department / Functional Area of the Job: Business Development/ Analyst/ Tele Sales


Job Description:
We are seeking a dynamic and experienced Travel Sales Executive with a minimum of 1 years of proven success in sales within the travel agency industry. The ideal candidate will play a key role in driving revenue growth by promoting and selling our diverse range of tour packages. If you have a strong sales track record, excellent customer relationship skills, and in-depth knowledge of the travel sector, we invite you to join our team.


Responsibilities:

Sales and Revenue Generation:Achieve and exceed assigned sales targets through proactive professional on and sales of tour packages. Develop and maintain a robust sales pipeline through effective lead generation and management.


Client Relationship Management:Build and nurture strong relationship with clients, providing personalised service and understanding their unique travel preferences. Act as the main point of contact for clients throughout the sales process.


Product Knowledge:Stay informed about the latest travel destinations, industry trends, and competitor offerings. Demonstrate a comprehensive understanding of our tour packages and services.


Sales Presentations and Proposals:Prepare and deliver compelling sales presentations showcasing the value and unique features of our tour packages. Tailor proposals based on client preferences, ensuring a customized and engaging sales pitch.


Booking Assistance:Guide clients through the booking process, providing expert advice and ensuring seamless reservations. Collaborate with internal teams to confirm travel arrangements and address client inquiries.


Customer Service Excellence:Provide exeptional customer service to maintain high levels of client satisfaction. Address and resolve customer concerns and inquiries in a Formally and professional manner.


Sales Reporti",Apna (On behalf of Galaxy Travels)Click here for more details,"JaipurDistrict: Jaipur, State: Rajasthan",1 - 31,"Customer Service, Customer Relationship, Outbound Sales, holiday packages, Product Selling, customer handling, product knowledge, customer retention, Customer relations, Tourism Management, tour packages, Holiday package creation, Tourism knowledge, Travel packages, Travel Management Software",Monthly,Full Time,15000 - 45000,1,driving
Apna (On behalf of Nextgen Infratech Solutions )Click here for more details,International BPO Executive,"Job Summary:
The International BPO Executive is responsible for managing and overseeing the delivery of outsourced business processes for international clients. This role involves coordinating between clients and internal teams to ensure high-quality service, maintaining client relationships, monitoring performance metrics, and driving process improvements aligned with client expectations and company goals.

Key Responsibilities:
Client Relationship Management:

Serve as the primary point of contact for international clients.
Understand client business processes, requirements, and expectations.
Address client queries, concerns, and escalations promptly and effectively.
Operations Management:

Coordinate daily operations ensuring timely and accurate service delivery.
Monitor team performance and quality standards to meet Service Level Agreements (SLAs).
Collaborate with cross-functional teams to resolve operational issues.
Process Improvement:

Analyze operational data and client feedback to identify improvement opportunities.
Implement process enhancements to optimize efficiency and quality.
Support the adoption of new tools, technologies, and best practices.
Reporting and Documentation:

Prepare and present regular performance reports to clients and senior management.
Maintain accurate records of client interactions, project status, and operational metrics.
Compliance and Quality Assurance:

Ensure adherence to regulatory and company policies.
Conduct quality audits and ensure continuous improvement in service delivery.
Team Coordination and Support:

Work closely with team leads and agents to ensure understanding of client requirements.
Facilitate training sessions and knowledge sharing.",Apna (On behalf of Nextgen Infratech Solutions )Click here for more details,N/A,0 - 31,"Customer Support, Customer Satisfaction, BPO, Voice Process, International BPO, Cold calling, Domestic BPO, GOOD COMMUNICATION SKILLS, International Calling, empathy, blended process, Telephonic support",Monthly,Full Time,17000 - 30000,1,driving
Apna (On behalf of New Horizons)Click here for more details,Business Manager,"Ambak is a new-age B2B fintech. Co-founded and led by industry experts who have come together from organizations like Axis Bank, Freecharge, Yes Bank, Policy Bazaar, Paisa Bazaar, Cardekho, and HDFC Life. Ambak is on a mission to simplifying home financing in India like never before, making it easier, transparent, and faster for the customers and channel partners. We already are present across North India, Karnataka, Maharashtra, and Telangana and we have offices in the cities like - Delhi-NCR, Mumbai, Bangalore, and Hyderabad. We look forward to hiring home loan rockstars from lending, BFSI, and fintech industries who are go-getters and want to be part of this fast-paced growth-oriented journey. Job title - Business Manager/Sales Manager Location - Gurgaon, Noida, Delhi, Mumbai Job Responsibilities -  Identifying and onboarding the potential DSAs and Channel partners from open market  Build and strengthen relationships with new and existing partners to drive business targets  Provide day to day operational support to your channel partners  Responsible for driving monthly sales targets and respective business metrics Job Requirements -  Excellent sales skills, e.g. rapport building and negotiation skills  Good written and verbal communication skills  Should have prior experience in NBFC and DSA preferably in mortgages (Home loan and LAP)  Own Conveyance and strong local industry network are preferred for this role  Fluency in the regional language will be an additional benefit Qualification required -  Minimum graduate How to apply -  mail your cv to - jobs@ambak.com",Apna (On behalf of New Horizons)Click here for more details,"Gautam Buddha NagarDistrict: Gautam Buddha Nagar, State: Uttar Pradesh",1 - 31,"Credit cards, Loan Against Property, Business Loans, Home Insurance, Corporate Loans, LAP (Loan against property)",Monthly,Full Time,20000 - 37000,1,driving
Apna (On behalf of Bajaj Allianz Life Insurance Company Limited)Click here for more details,Business Development Manager (BDM),"Retail Partner / I.C. (BUSINESS DEVELOPMENT MANAGER)
Location: Remote (Work From Home)
Experience: Freshers & Experienced
Type: Full-Time
Monday - Friday

Key Role:
Recruit, lead and manage a team of Insurance Consultants/POSPs. Responsibilities include recruitment, training, team supervision, and driving business growth.

Qualifications:

Bachelors degree or equivalent
Good communication and leadership skills
Compensation & Benefits:

Earnings: 19,000/month (including allowances) + Incentives up to 60,000+ (Pay-per-performance)
Benefits: PF, ESIC, unlimited incentives, official/foreign tours, gifts, and recognition

Training:

IRDAI-authorized IC-38 certification (567 exam fee to be paid by candidates )
3-month on-the-job training (theory + practical) with up to 80,000 stipend based on performance

Training via Zoom

Schedule: Monday to Friday
Language: Hindi (Required)

 Remote work, no bond, high earning potential, and career growth in a managerial role.",Apna (On behalf of Bajaj Allianz Life Insurance Company Limited)Click here for more details,"South Twenty Four ParganasDistrict: South Twenty Four Parganas, State: West Bengal",0 - 31,"Leadership Skills, B2B Sales, communication, Recruitment, B2C Sales, Life Insurance, Salary Administration, Life insurance sales, Sales closing, Interviewing candidates",Monthly,Full Time,N/A,1,driving
Apna (On behalf of Everest Fleet Pvt. Ltd.)Click here for more details,Cab Driver,"urgent requirement for cab driver , cab provided by the company .",Apna (On behalf of Everest Fleet Pvt. Ltd.)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",0 - 31,"driving, Road safety, Google map operation, Four-wheeler driving",Monthly,Full Time,25000 - 50000,1,driving
Apna (On behalf of Big Basket)Click here for more details,Delivery Executive,"Hi
  BIG BASKET          . Rs.5000  Rs.15000   .
You earn up to 45000 monthly

No Joining Fees (FREE Joining)
Per Order Flat 25 to 50 Rs
3 to 4km delivery
We provide E- bike No initial payment
Petrol incentives available

 Full Time/Part Time
 Weekly Payout
 Weekly Incentives
 Monthly Incentives
 Short Distance Deliveries
 24 x 7 Live Help support.
 Riders Refreshing place 
 Insurance Up to 10 Lac
 You & Your Family Education Related Benefits

Available stores

vengaivasal

Medavakkam

Keelkatalai

Nanganallur

Pallavaram

Tambaram

Selaiyur

Chitlapakkam

Kazhipattur

Mylapore

Kuthambakkam

Aminjikarai

Maduravoyal

Mogappair

Mugalivakkam

Pattalam

Iyyappanthangal

Villivakkam

Virugambakkam

Ambattur

Kelambakkam

Navalur

Sholinganallur

Thoraipakkam

Kottivakkam

Adyar

Velachery

West Mambalam

Royapettah

Required Documents for onboarding process

Aadhar Card front /back
Pan Card
Driving license front /back
 Bike number
Email I'd
Bank Passbook/Check leaf
Your Photo / Selfie

PART-TIME

6am to 10am
6pm to 10pm
7pm to 11pm

Full time

6am to 3pm
2:30pm to 11:30pm


Share your friends
Whatsapp : 7358505726",Apna (On behalf of Big Basket)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",0 - 31,delivery,Monthly,Full Time,30000 - 50000,1,driving
Apna (On behalf of Bajaj Allianz Life Insurance Company Limited)Click here for more details,Retail Partner,"Retail Partner / I.C.
Location: Remote (Work From Home)
Experience: Freshers & Experienced
Type: Full-Time

Key Role:
Recruit ,lead and manage a team of Insurance Consultants/POSPs. Responsibilities include recruitment, training, team supervision, and driving business growth.

Qualifications:
Bachelors degree or equivalent
Good communication and leadership skills
Compensation & Benefits:

Earnings: 19,000/month (including allowances) + Incentives up to 60,000+ (Pay-per-performance)
Benefits: PF, ESIC, unlimited incentives, official/foreign tours, gifts, and recognition

Training:

IRDAI-authorized IC-38 certification (567 exam fee to be paid by candidates)
3-month on-the-job training (theory + practical) with up to 60,000 stipend based on performance

Training via Zoom

Schedule: Monday to Friday
Language: Hindi (Required)

 Remote work, no bond, high earning potential, and career growth in a managerial role.",Apna (On behalf of Bajaj Allianz Life Insurance Company Limited)Click here for more details,"South Twenty Four ParganasDistrict: South Twenty Four Parganas, State: West Bengal",0 - 31,"Sales, Sales Administration, Recruitment, B2C Sales, Channel Sales, Life Insurance, Enterprise Sales, Life insurance sales, team leading, Distributor, Sales closing, SMB sales, Interviewing candidates",Monthly,Full Time,19000 - 61000,1,driving
